text input,category
"My boss might penalize me, which could lead to me getting fired. ",thought
"I would lose out on financial opportunities, which would affect my bills and household.",thought
I may have to live in a smaller apartment or even end up homeless. ,thought
I would feel frustrated because I keep trying to find a job but nobody wants to give me a shot. ,thought
It says that I'm not a good employee and it may affect my finances because no one will hire me.,thought
It means I'm a bad employee prospect and not worth anyone's time.,thought
It would mean that I'll keep struggling to find a job.,thought
I would feel like I'm not worth talking to because they don't like me as a person or that I'm boring. ,thought
They would be passively attacking me character and it would make more upset.,thought
It means that I'm very unlikeable and uninteresting. ,thought
It means that I have a poor character and it'll be difficult to converse with people. ,thought
I worried that she might break up with me and that I'd never see her again. ,thought
I've been with her for many years and it would be a heartbreaking experience if she left.,thought
I would have to look for someone else or possibly end up alone.,thought
I'd struggle to pay the bills because I wouldn't have a roommate to share the apartment with.,thought
I might have to move in with friends or worse.,thought
I would feel like they were ignoring me on purpose. ,thought
It means they don't respect me. ,thought
It means they don't see me as a valuable member of the company. ,thought
It would mean that I'm an incompetent employee or worker. ,thought
I've missed out on eating a lot of foods I'd like to eat for nothing.,thought
I'm putting in effort and seeing no results.,thought
I am selfish.,thought
I am not trying hard enough to find a balance between my needs and those of the people I love.,thought
I am hurting the people I love.,thought
I am not a good job candidate.,thought
All the hard work I've put into my education and work experience has not been enough.,thought
"I have wasted a lot of time, money and energy.",thought
I am a failure at life.,thought
My husband must have met another woman.,thought
My marriage is over.,thought
I am a failure as a wife.,thought
My husband is still mad about our fight last night and I just want to forget about it.,thought
It makes me worry that the damage to our marriage with these stupid fights is going to get worse and worse until we end up divorced.,thought
They don't like me.,thought
We will not become friends.,thought
It will be there lost.,thought
I am not capable of thinking correctly.,thought
That I must be losing my mind.,thought
I am not going to finish the paper.,thought
I will get a bad grade.,thought
I will fail the class.,thought
I have no job.,thought
I can't pay my bills.,thought
I will lose my home and family.,thought
Nobody wants to talk to me.,thought
They don't like me.,thought
I will try and talk to someone else.,thought
I can't sing.,thought
Maybe I need to quit the choir.,thought
I can't sing.,thought
I don't have any talents.,thought
I have nothing to offer the world.,thought
He is trying to avoid me and is uninterested,thought
I may be an uninteresting person with little to offer,thought
I would have trouble connecting with anyone I'm interested in,thought
I would be alone for a long time,thought
I would become depressed ,thought
Life would become intolerable,thought
I am not going to be able to finish this essay,thought
I would fail the assignment or task given to me,thought
I would be reprimanded for not completing essay task,thought
I would feel more of a failure,thought
I would lose confidence,thought
My work performance would suffer,thought
I could lose my job,thought
It would be difficult to find another job,thought
I would be in a hopeless situation,thought
It could lead to deterioration of mental and physical health,thought
I am a bad person not making time for them,thought
I am being too self centered and not opening myself to others,thought
I would be difficult to be around,thought
I would lose family and friends,thought
I would be alone without support,thought
Life would become unbearable,thought
I'm going to be stuck in my current situation forever,thought
I would be unable to improve my life situation,thought
(Previous answer was \I would be unable to improve my life situation (didn't appear at top) - I would become more depressed and frustrated,thought
My mental and physical health could deteriorate,thought
The mental and physical toll on my health could wind up killing me,thought
I am now going to have to pay almost $1000 for the bill,thought
I would be unable to pay off my other debts as planned,thought
It would keep me stuck here in my current city and job longer,thought
I would continue to deteriorate physically and mentally,thought
It could lead to serious health problems,thought
Could lead to death,thought
I'm not good enough for her.,thought
"I am not a \good\\ catch\""""",thought
I won't find someone I can be with,thought
I will be alone forever,thought
I will never be slim and fit.,thought
I cannot get my health under control,thought
I will get net health problems due to my weight,thought
I will rack up hospital bills for treating my debilitating health,thought
I will lose my home due to not being able to pay the mortgage and hospital bills,thought
I am not good enough to get this work done.,thought
I am not smart enough to get this work done,thought
I would fail at this task,thought
No one likes me.,thought
People do want to get to know me,thought
I can't make friends,thought
I will be alone,thought
No one will be there when I need them,thought
He's insulting me.,thought
I lost respect from my other friends,thought
They won't take me seriously anymore,thought
They will stop being my friends,thought
Fear,non-thought
I fear that my boss does not think I am working hard enough,thought
I could lose my job,thought
I am not worthy of this job,thought
I will not be able to find another good job,thought
I will not be able to pay bills,thought
I will lose my home,thought
I will be homeless,thought
Disappointed and hurt that the co-worker has not time for me.,thought
I feel hurt that this person does not have time for me. Maybe I am selfish.,thought
I am selfish,thought
Frustration at not losing weight,thought
"I tried so hard, followed the diet and it did not work.",thought
I failed,thought
I am a loser,thought
I feel bad about disappointing my family,thought
My family may not forgive me,thought
I love them and do not want to hurt them.,thought
Panic. I was afraid that the dog might be harmed,thought
The dog would die,thought
My sister would be heartbroken and I would be devastated,thought
My sister would never forgive me.,thought
No one cares about my feelings.,thought
I am not worthy of respect.,thought
People do not recognize me as important.,thought
People will look down on me.,thought
I will not be able to succeed.,thought
I will not be able to accomplish other things in life.,thought
I will never have the things I want.,thought
I will never be happy.,thought
I am boring.,thought
No one will talk to me.,thought
I will not have friends.,thought
I will be depressed.,thought
I am not good enough.,thought
No one will ever love me.,thought
I will not find love.,thought
I will be alone forever.,thought
They do not like me.,thought
I am not interesting.,thought
I will not have any friends.,thought
I will be lonely.,thought
I don't know if I have enough time to finish this work.,thought
I did not manage my time well. ,thought
The boss is not going to be happy with my work.,thought
I'm might get fired.,thought
I will have to get another job.,thought
I really wanted to get this job. I'm so tired of job hunting.,thought
I might never get hired.,thought
No one thinks I am good enough to work for them.,thought
I'm glad he feels the same way that I do.,thought
He does not like me.,thought
I'm not an interesting person.,thought
I really need to do and complete this task because I need the money.,thought
If I don't do it and complete it then I won't get paid.  And I have bills to pay.,thought
Why cant life just let things happen. ,thought
"I cant believe i had to do that, they will hate me",thought
I feel like im getting further away from them,thought
We will never get to see eachother,thought
How could i do this? ,thought
"Need to figure out what the cause was, if it was me i need to try to do better.",thought
That i wasnt prepared for this job and need to see if thats what i want,thought
"oh, no how will i afford this",thought
only the bad ones get rejected before even being interviewed,thought
That i failed and didnt perform my best,thought
that i wont find a job,thought
"Working somewhere that doesnt give me pleasure, might as well end it then. ",thought
Am I doing enough,thought
That im ashamed to be so anxious about not doing right. ,thought
That i will disappoint my family,thought
Did they not notice me or did they really just do that. ,thought
that i thought our friendship was more friendlier then that. ,thought
Did i overestimate his interest?,thought
I bet they think im ridiculous,thought
I'd be worried about failing the class and having to repeat it.,thought
I'd know I'm a failure and would waste money on another college course.,thought
What if I never find a job?,thought
"I'd have no income, and would be poor.",thought
"I wouldn't be able to do things I enjoy, or buy things I want.",thought
"I'd be even more depressed, and would be stuck in a rut.",thought
What if I never see her again?,thought
"I'd be very sad, I'm not sure if I could love again.",thought
I'd be lonely for the rest of my life.,thought
Thinking if I'm not that uninteresting after all,thought
"Not much really, I'd be okay if I was uninteresting.",thought
Why can't I have fun? Why must I stay home all the time?,thought
It would mean my life is very boring and uninspiring. I wouldn't know what to do.,thought
"I'd probably break the relationship up, and find someone more welcoming.",thought
They don't want to be my friend.,thought
"It would be upsetting, since I became fond enough of them to ask them to do something outside of work. It would probably mean the feelings were entirely one sided.",thought
I am not a great judge of character.,thought
"People who agree to hang out with me, may not actually want to.",thought
I may have less real friends then I actually think I do.,thought
That my mind can't even come up with a starting point to the essay.,thought
Very upsetting. It would say I don't even know where to begin.,thought
I am not well informed on the subject and not capable of completing the essay.,thought
That I applied several places and had no success in finding a new job.,thought
"It would be upsetting since, if I'm looking for a new job I need one. It would say I may not be able to find a new job.",thought
I may not be qualified for any position that appeals to me.,thought
I may not be able to earn more money at a better job.,thought
I may not be able to financially improve the quality of my life.,thought
That I'm not a very interesting person.,thought
I would be only moderately upset. It would say that I am not that social of a person.,thought
There was no need to even say anything it was very minor.,thought
I did and do a good job with my work. It would say either I'm not as good as I think and accept criticism or I should just let this go.,thought
My boss must think I'm lazy.,thought
He could give me a poor performance review.,thought
I could get fired.,thought
I could be unable to afford to pay my bills.,thought
I must be an annoying person.,thought
No one will want to spend time with me.,thought
I will be lonely forever.,thought
I am a failure.,thought
I cannot complete tasks that I put effort into.,thought
I am not a capable person.,thought
I did something to make them not love me.,thought
I have an unloveable personality.,thought
No one will ever love me or stay with me.,thought
I will die alone.,thought
I am incapable of doing anything right.,thought
My boss will think poorly of me and my work.,thought
My boss will think poorly of me and my work.,thought
I will get fired.,thought
I will be unable to reach my savings goals.,thought
I'm not good enough for them to like me.,thought
I'm not attractive or have a good enough personality.,thought
I won't be able to get anyone to like me or hangout with me.,thought
I won't have any new friends or partners.,thought
I'm never going to get married and have a family.,thought
I'm going to be alone forever.,thought
I'm not as good at what I'm doing as I used to be.,thought
Other people are probably doing it better than me. ,thought
I'm not as needed as I once was because other people are better.,thought
I will lose my job eventually.,thought
I won't know what to do with my life.,thought
People will be disappointed in me.,thought
I'm a failure and can't keep a sales person job.,thought
I would have lost my income and everything I was working toward for the past 6 months.,thought
I was wasting my time and I'm a disappointment.,thought
Everyone will be disappointed in me and I'll have to rely on them for help.,thought
I'm really bad at everything I do.,thought
I can't ever do anything as good as everyone else.,thought
I won't ever get to the top of something. I won't ever be great at something that I do.,thought
Everyone will think i'm stupid.,thought
He doesn't like me because I'm not good enough.,thought
A lot of people may think that as well. A lot of people might not like me.,thought
I want to be left alone right now,thought
It would mean I'm slightly selfish,thought
It would mean Im not a good person,thought
I may lose my job,thought
I am a bad person,thought
I deserve to be punished,thought
I am worthless,thought
That I can't get any job,thought
That i have no skills,thought
I will never get a job,thought
I don't deserve this,thought
It would mean I'm a good person,thought
That would mean I didn't deserve it,thought
He might hit me,thought
It would mean the end of the relationship,thought
I wouldnt have a spouse,thought
I would be alone,thought
boss sees me not doing work ,thought
it makes me angry that the boss doesnt trust my work ethic. Everyone deserves a break. ,thought
relief that I get to be alone ,thought
my performance,non-thought
it would mean that I am lazy and I need to do better ,thought
not sure why it happened ,thought
it would mean I am being left in the dark ,thought
the inability I posess to forget and forgive the past ,thought
it means that I am not a strong person ,thought
I will never be fully happy ,thought
I would fear I would never get the task done that way.,thought
I would not get the assignment done and that would be a problem. I'm not usually that way with words.,thought
I would not get the task finished and therefore might risk failure of something else. It would say I was a quitter and would not have any ideas in my head left.,thought
"The way I imagined them to be hurt, I don't want them to feel that way.",thought
I want them to feel good and not bad in any way. It says that I care but really couldn't help the situation otherwise.,thought
Rejection is getting out of hand in the way of needing money.,thought
Because I would be worried about paying my bills and possibly becoming homeless if I never got a job on time. I would say that I'm responsible and needing work badly.,thought
It would mean that I could possibly be homeless and that is not fun.,thought
"I want to stay together and would start to feel very insecure, abandoned, and betrayed.",thought
"It would be something that was negative, and I have a hard time letting go of all of my relationships. I'm not clingy but I get attached to others very strongly.",thought
"I would not know where to go to get another spouse, might feel like no one would want me ever again. It says that I need to let go and just deal with it.",thought
I am so angry that he is such a hypocrite. He doesn't realize he is guilty of the same things he explodes about.,thought
I am tired of feeling negatively like this. It is the reason why I have been trying to avoid him in the first place. I am a peaceful person and don't get into fighting like he seems to. It means I just want to live happy.,thought
It's taking a toll on my quality of life having to live in the same household as him. IT says I need him to move out so everyone won't have to deal with it including myself.,thought
he is not considering me as his friend and not willing to come with me,thought
being ignored,thought
the sentences plays a very important role in writing an essay but if that sentence is not able to formed then it becomes very bad to complete.,thought
trying to form a sentences.,thought
that i am in a very tensed mood and not able to concentrate.,thought
situtions are not good,thought
i may have no time to spend with my family if they visit me,thought
the family members were not understanding why i am saying this to them,thought
trying to get a job but was not possible,thought
qulilfication is lower than may others ,thought
my brother is very careless as he has the feeling that there is no one to ask him as his sister is the one who is senior,thought
very angry about him and warned him,thought
I almost forgot.,thought
"If I forgot to do some work, it would hurt my reputation as a good employee.",thought
"I would not be as strongly considered for promotion, or new projects.",thought
I would have a harder time improving my income.,thought
It would get harder to sustain my living conditions.,thought
Maybe I should have let them visit.,thought
"If I should have let them visit and did not, I would be distancing myself from my family.",thought
"If I am distancing myself, it will harm my relationship with family.",thought
I might not see family as much.,thought
I would feel more alone and isolated.,thought
Nobody thinks I'm qualified.,thought
I am not as good as my peers.,thought
I might not be in the career that's right for me.,thought
It is too late too change careers now.,thought
I can't function without them.,thought
"It means I would lose desire to take part in activities, and would not be able to focus on work.",thought
"I would become more socially isolated, and my work would suffer.",thought
"I would feel more alone, and my job security could be at risk.",thought
Am I not explaining the material well?,thought
"If I am not explaining things well, perhaps I should not be teaching the class.",thought
"If I should not be teaching the class, maybe I should not be teaching plain and simple.",thought
What should I be doing if I am not cut out to teach?,thought
Does he think I'm too stupid to do my job?,thought
It would mean that he thinks i'm incompetent or stupid. It might also mean that he needs to nag me about future things as well if that's the case.,thought
What am I going to do if I can't write anything?,thought
It would mean that I wasn't able to finish my essay.,thought
I'd fail my class,thought
Why do they always have to make things about them?,thought
Because it's true? It would mean that I was tired of their selfishness and that I'm easily annoyed.,thought
Did I do something wrong?,thought
Because I wouldn't know how to fix it or avoid it in the future.,thought
Why didn't my family tell me?,thought
Because it meant they didn't care enough to let me know about his health,thought
They think less of me,thought
Because it means I'm not as family as others outside the family.,thought
No one likes me.,thought
I will never find friends.,thought
I will be lonely.,thought
I will never get this done.,thought
"If I don't get it done, I will let others down and be disappointed in myself.",thought
I'm not reliable.,thought
I really should make time for them.,thought
It would mean that my own priorities are hurtful to others.,thought
It would mean I am self-centered.,thought
My family members won't love me.,thought
I always get rejected.,thought
It would mean that I might never get a job.,thought
I won't make money.,thought
I'll starve or be homeless.,thought
"I worked hard on these jobs, and was sure I had done well.",thought
I might mean that I'm not as competent as I think.,thought
I don't do good work.,thought
I'm not able to make money to help support my family.,thought
"No rest, so lot of stress.",thought
The man who right select to right choice,non-thought
Feel of Fear,thought
None,non-thought
None,non-thought
None,non-thought
work stress feel of sad ,non-thought
None,non-thought
NOne,non-thought
I must not be good enough for this person.,thought
I would feel inadequate.,thought
I would fell that I am a failure socially. ,thought
That I lack social skills...,thought
I am not capable of losing weight,thought
I am going to get fat and ugly,thought
I would be seen as someone that is out of shape,thought
I would lose self-esteem ,thought
I wouldn't be condifent,thought
I am not good at sales jobs,thought
I lack the ability to persuade and negotiate,thought
I am not a person that can convince people to buy things,thought
I lack the skills to sell cars,thought
I don't command the respect one needs to sell,thought
I am failing as a parent,thought
I am not a good parent,thought
It is very important to me,thought
I am not good at getting through to people,thought
I lack communication skills,thought
I don't have effective communication skills,thought
I am to needy and eager to make friends. ,thought
I am not a person that people want to get to know,thought
I am not worthy of friendship,thought
I am a nobody,thought
That I am boring and not interesting,thought
That I am dull,thought
I should have been trained better.,thought
It would mean that I didn't have a fair chance.,thought
They didn't believe in me enough to train and help me like they should have.,thought
They didn't value me as a coworker.,thought
I'm worthless.,thought
I'm not good enough.,thought
It would say that I can't do anything right.,thought
I'm alone now.,thought
There is no one I can count on to be there for me.,thought
I'm unworthy of love,thought
She doesn't love me like she used to.,thought
It would mean that we are losing our close relationship.,thought
We could drift farther and farther apart.,thought
It would mean that I would lose my closest relationship,thought
It would say that I don't deserve a close relationship,thought
It would mean I don't deserve to be loved,thought
I'm a loser.,thought
I don't make a memorable impression on people.,thought
I won't make any new friends.,thought
I must not be a very fun person.,thought
I'm wasting my time. ,thought
"It would mean I was going to get less sleep or less time to do other things, and I would probably fail my essay which would be bad for my grades. ",thought
I hurt my family. ,thought
"It would mean I hurt people close to me, which would make me be a bad person. It would mean I thought less of myself. ",thought
I failed at my job. ,thought
It would mean I was an embarrassment at my job and I failed to meet my obligations. ,thought
I feel like an outcast. ,thought
"Because it would mean that other people didn't like me or care about me, and they felt annoyed by my presence. ",thought
My money was stolen. ,thought
It would mean my hard-earned cash was taken out of my hands for something I didn't pay for. I would be a fool. ,thought
They don't like me.,thought
I would feel like something was wrong with me.,thought
I might never find someone that likes me.,thought
I could end up alone forever.,thought
I'm incompetent.,thought
It would mean that I am not capable of succeeding and I can't do things that I expect I should be able to do. It would mean I was not good enough.,thought
I might not be able to pass the class,thought
I might fail out of school,thought
I won't be able to get a good job,thought
I won't be able to support myself.,thought
I'm a failure.,thought
It would mean I wasn't good enough.,thought
It would limit what I could do in life and my opportunities. ,thought
I'm boring,thought
No one would want to converse with me,thought
I could end up with no friends.,thought
I could be alone forever.,thought
My husband doesn't want to spend time with me.,thought
He isn't interested in me.,thought
He may leave me.,thought
"I feel I already have my day planned and the boss is trying to direct when I do things. The closest feeling is anger, or irritation.",thought
I would feel resentment that I was being told to do something I was already working on or had planned out. ,thought
I would feel that the boss didn't trust me to manage my work flow,thought
Failure,thought
